,éclat,n辉煌成就,,
eklɒg|ˈɛkˌlɔɡ*** -ˌlɑɡ,eclogue,n田园诗;牧歌,n. 牧歌，田园诗；,an eclogue of the East
ˌi:kju:ˈmenɪkl|ˌɛkjəˈmɛnɪkəl,ecumenical,adj世界范围的,adj. 一般的，普通的；,ecumenical religious services
ˈi:dɪkt|ˈiˌdɪkt,edict,n法令|命令,n. 法令； 告示；,fiat obey the edicts of
ˈɪəri|ˈɪri,eerie,adj可怕的;阴森恐怖的,adj. 可怕的； 怪异的； 怪诞的； 胆小的,an eerie scream
ɪˈfemɪnət|ɪˈfɛmənɪt,effeminate,adj缺乏勇气的;柔弱的,adj. （指男人）柔弱的，女人气的；,an effeminate voice
ˈefɪdʒi|ˈɛfədʒi,effigy,n模拟像,n. （人的）雕像，模拟像，肖像；,stone effigy
ˈegəʊɪzəm|ˈegoʊɪzəm,egoism,n利己主义,n. 自我主义，利己主义，自私自利；,territorial egoism
iˈdʒækjuleɪt|ɪˈdʒækjəˌlet,ejaculate,v突然叫出或说出|射出,vt. 突然说出； 射出（液体）；|n. 射出； 突然的喊出； 射出者； 射出器,a tendency to ejaculate quickly;
ɪˈlektərət|ɪˈlɛktərɪt,electorate,n选民;选区|有选举权者,n. 选民（全体）； 选举区； [史]选帝侯的爵位[领土]；,A majority of the electorate oppose the law.; a quarter of the electorate
ɪˈlɪksə(r)|ɪˈlɪksɚ,elixir,n万灵药;长生不老药,n. 炼金药，长生不老药； 酏剂；,the elixir of life
iˈmæskjuleɪt|ɪˈmæskjəˌlet,emasculate,v削弱|阉割|adj柔弱的,vt. 阉割； 使柔弱； 删削； 使无力|adj. 阉割了的，柔弱的；,castrate ;The bill has been emasculated by Congress.
ɪmˈbæŋkmənt|ɛmˈbæŋkmənt,embankment,n堤岸;路基,n. 路堤； 筑堤；,embank v;a steep embankment.
ɪmˈbɪtə(r)|ɛmˈbɪtɚ,embitter,v使痛苦;使难受,vt. 使怨恨，激怒；,a sick*** embittered*** and lonely old man ;embitter your children
ɪmˈbleɪzn|ɛmˈblezən,emblazon,v以纹章或其他方式装饰,vt. 用纹章装饰，颂扬，盛饰；,blazon v 夸示*** 装饰;a T-shirt emblazoned with a political slogan
ɪmˈbɒdimənt|ɪmˈbɑdimənt,embodiment,n化身;体现,n. 体现； 化身； 具体化；,He is the embodiment of evil.
ɪmˈbrɔɪl|ɪm'brɔɪl,embroil,v牵连;卷入纠纷,vt. 使（自己或他人）卷入纠纷；,They are embroiled in a war against their will ;broil v.烤(肉)*** 酷热
ˌembriˈɒnɪk|ˌembriˈɑnɪk,embryonic,adj胚胎的|萌芽期的,adj. 胚芽的，胎儿的； 初期的；,embryonic development
ˈemərəld|ˈɛmərəld*** ˈɛmrəld,emerald,n翡翠|adj翠绿色的,n. 祖母绿； 绿宝石，翡翠； 翠绿色； [印]一种活字|adj. 祖母绿的； 翡翠的； 翠绿色的；,diamonds and emeralds
ɪˈmɒljumənt|ɪˈmɑljumənt,emolument,n报酬;薪水,n. 报酬，薪水；,salary wage remuneration ;emolument of officials
ˌempaɪ'ri:ən|ˌɛmpaɪˈriən*** ɛmˈpɪriən,empyrean,n天空;天神居处,n. 最高天（古宇宙论认为该处存有纯火，早期基督教认为该处是上帝的家园）； 可见的天堂，苍天；|adj. 天堂的，苍天的，最高天的；,story of The Empyrean; soar towards the empyrean
ɪn'saɪfə|ɪn'saɪfə,encipher,v译成密码,vt. 用密码书写（信息等）； 把…译成密码；,encipher technology
ɪnˌsaɪkləˈpi:dɪk|ɛnˌsaɪkləˈpidɪk,encyclopedic,adj广博的;知识渊博的,adj. 百科全书般的，学识渊博的； 百科全书的；,an encyclopedic knowledge of medieval literature
ɪn'dju:|ɛnˈdu*** -ˈdju,endue,(with)v赋予(才能),vt. 授予，赋予（特性、才能等）；,endue with v.使穿上*** 赋予 endue sb with sth
ɪn'grəʊsmənt|ɪn'groʊsmənt,engrossment,n正式缮写的文件|专注,n. 正式缮写的文件，专注；,engrossment with God
ɪˈnəʊbl|ɪˈnoʊbl,ennoble,v授予爵位;使高贵,vt. 封…为贵族，使高贵；,noble;art which ennobles the human race
ɪnˈʃraɪn|ɛnˈʃraɪn,enshrine,v奉为神圣,vt. 珍藏，铭记； 把…奉为神圣； 秘藏； 把…置于神龛内,shrine;The right of free speech is enshrined in the Constitution. ;memories enshrined in one's heart
ɪnˈsleɪv|ɛnˈslev,enslave,v奴役,vt. 使成为奴隶； 奴役； <正>使受控制； 征服,She seemed enslaved by hatred. ;enslave your folk
ɪnˈsneə(r)|ɪnˈsner,ensnare,v诱入陷阱;进入罗网,vt. 诱捕，使入陷阱，使入圈套；,snare;Young girls were ensnared in prostitution rings.
ɪn'θrɔ:l|ɛnˈθrɔl,enthrall,v迷惑;迷住,vt. 迷住，吸引住； 使感到非常愉快；,thrall;be enthralled by/with somebody/something
ˈɒnturɑ:ʒ|ˈɑnturɑʒ,entourage,n随从|环境,n. 随行人员；,the president and his entourage
ɪn'trentʃ|ɛnˈtrɛntʃ,entrench,v挖壕沟|确立,v. 用壕沟围绕或保护…； 牢固地确立…； 挖掘壕沟；|n. 壕沟； 防御设施；,measures designed to entrench democracy
ɪnˈtwaɪn|ɛnˈtwaɪn,entwine,v使缠绕;交织,vt. 缠绕，盘绕；,twine n.合股线*** 细绳*** 麻线*** 搓v.搓*** 织*** 编饰*** (使)缠绕 entwine sth with sth
ɪnˈvaɪrənz|ɛnˈvaɪrənz*** -ˈvaɪənz,environs,n郊外;郊区,n. 郊区，近郊；|v. 包围，环绕，（敌意地或保护性的）围住( environ的第三人称单数 )；,outside the environs of the college
ɪnˈvɪzɪdʒ|ɛnˈvɪzɪdʒ,envisage,v正视|想像,vt. 想像，设想； 正视，面对； 观察，展望；,I don’t envisage working with him again. ;The scheme cost a lot more than we had originally envisaged.
ˌepɪkjʊəˈri:ən|ˌepɪkjʊˈriən,epicurean,adj好享乐的|享乐主义的,n. 享乐者；|adj. 好美食的，爱奢侈享受的；,an epicurean feast
ˈepɪsəʊd|ˈepɪsoʊd,episode,n一段情节,n. 插曲； 片段； 一集； 一段经历,the first episode of a new drama series
ɪˈkwestriən|ɪˈkwɛstriən,equestrian,n骑师|adj骑马的,adj. 骑马的，马的； 骑术的； 骑士团的；|n. 骑手； 骑马者； 马戏演员；,equestrian sports
ˈeskɔ:t|ˈeskɔrt,escort,v护送|n护送者,n. 护送者； 护航舰； 陪同某人参加社交活动的人（尤指男人）； 受雇陪同某人外出社交的人（尤指女人）|vt. 护送，护卫；,I escorted her to the door.
ɪs'treɪndʒ|ɪˈstrendʒ,estrange,v使疏远,vt. 使疏远（尤指家庭成员之间）；,estrange from his wife strange
ˈestʃuəri|ˈeri,estuary,n河口;三角湾,n. （江河入海的）河口，河口湾； 港湾；,the Thames estuary
ju:'dʒenɪk|juˈdʒɛnɪk,eugenic,adj优生(学)的,adj. 优生（学）的；,genic adj.[生]基因的***遗传因子的;eugenic concept;eugenic schemes
ˌi:vntempəd| ˌivənˈtɛmpɚd,even-tempered,adj性情平和的|不易生气的,adj. 性情平和的，沉着的，稳重的；,temper脾气 placid ;making you even-tempered
ˌevəˈlɑ:stɪŋ|ˌevərˈlæstɪŋ,everlasting,adj永恒的;持久的;无止境的;耐用的,adj. 永久的，永恒的，接连不断； 不断的，冗长的，使人厌烦的； [植]干后花的形状颜色不变的；|n. 永久，无穷； 〈英〉牢固耐久的毛呢； [植]蜡菊，蝶须，鼠曲草；,last;a symbol of God’s everlasting love
ɪˈvɪsəreɪt|ɪ'vɪsəreɪt,eviscerate,v取出肠及内脏,vt. 切除…的内脏；,eviscerate fish;viscera内脏
ɪk'sepʃənəbl|ɪk'sepʃənəbəl,exceptionable,adj引起反感的,adj. <正>会引起反感的，可提出异议的；,exceptional bravery ;exceptionable purpose
,L45,,,
ˈeksɜ:pt|ˈeksɜrpt,excerpt,n摘录;选录;节录,n. 摘录； 引用； 摘要； 节录|vt. 摘录； 摘要； 引用； 节要|vi. 摘录； 引用；,excerpts from a novel;they may excerpt others’ work
ɪksˈtʃekə(r)|ˈɛksˌtʃɛkɚ*** ɪksˈtʃɛkɚ,exchequer,n国库|财源,n. （英国）财政部； 国库，金库；,chequer 西洋跳棋*** 棋子;chancellor of the exchequer
eks'kɒdʒɪteɪt|ɪkˈskɑdʒɪˌtet,excogitate,v认真想出,vt. 想出； 设计出； 图谋； 算计,cogitate v.思考*** 考虑 agitate;excogitate a method for
ɪks'kru:ʃɪˌeɪt|ɪkˈskruʃiˌet,excruciate,v施酷刑;拷问;折磨,vt. （精神上）残酷折磨，（使精神上受）极大痛苦；,excruciate on the newspaper
ˌeksɪ'kreɪʃən|ˌɛksɪˈkreʃən,execration,n憎恨;厌恶,n. 诅咒，念咒，憎恶；,hurl execration at my name
eksˈhju:m|ɪgˈzum,exhume,v掘出;发掘,vt. 挖出，发掘出；,exhume the corpse to make an antopsy
egˈzɪgjuəs|ɪɡˈzɪɡjuəs*** ɪkˈsɪɡ-,exiguous,adj太少的;不足的,adj. 稀少的，微小的；,exiguous savings
ɪkˈspeɪʃieɪt|ɪkˈspeʃiˌet,expatiate,v细说;详述,vi. 详述，细说；,expatiate on/upon something
ˌeksˈpætriət|ˌeksˈpeɪtriət,expatriate,v驱逐出国|脱离国籍,n. 侨民，移居国外者； 被逐出国外者；|adj. 移居国外的； 被逐出国外的；|vi. 移居国外，放弃原国籍；|vt. 使移居国外，使放弃国籍； 放逐，流放；,repatriate v.遣返;British expatriates in Spain;banish
ˌekspɪ'eɪʃn|ˌɛkspiˈeʃən,expiation,n赎罪;补偿,n. 赎罪，补偿；,a place of expiation;She expiated her crime by becoming a nun.
ɪkˈsplɪkəbl|ˈɛksplɪkəbəl,explicable,adj可解释的,adj. 可解释的，可说明的；,The success of the Revolution is explicable in terms of the weakness of the king’s government.
eksˈprəʊprieɪt|eksˈproʊprieɪt,expropriate,v充公|没收,vt. 没收（财产），征用； 剥夺…的所有权；,expropriate sb of sth. misappropriate v.盗用
ɪkˈspʌlʃn|ɪkˈspʌlʃən,expulsion,n驱逐;开除,n. 驱逐； 开除； 排出； 喷出,expulsion of school
ˈekstrədaɪt|ˈɛkstrəˌdaɪt,extradite,v引渡回国;拿获归案,vt. 引渡（外国的罪犯）； 获取…的引渡； 送还（逃犯）；,extradite to a place
eksˈtrɪnsɪk|ɪkˈstrɪnsɪk*** -zɪk,extrinsic,adj外来的;外在的;外部的,adj. 非本质的； 外在的； 外来的； 外部的,extrinsic facts/motivation; intrinsic
ɪkˈstru:d|ɪkˈstrud,extrude,v挤出;逐出|突出,v. 挤压出； 挤压成； 突出； 伸出|vt.& vi. （被）挤压出； 排出； 喷出；|vt. （把金属或塑料）挤压成，压制；,extrude tubing;be extruded through
ɪgˈzʌltənt| ɪɡˈzʌltnt,exultant,adj非常高兴的;欢跃的,adj. 狂喜的，欢欣鼓舞的；,an exultant mood
ˈfæbjələs|ˈfæbjələs,fabulous,adj难以置信的|寓言里的,adj. 极好的，极妙的； （美貌）惊人的； 寓言般的； 难以置信的,a fabulous meal ; fabulous wealth
fækˈsɪməli|fækˈsɪməli,facsimile,n复制本;摹本,n. （文字、图画等的）副本，传真；,a facsimile edition of
fækˈtɪʃəs|fækˈtɪʃəs,factitious,adj人为的;不真实的,adj. 不自然的； 虚假的； 人为的； 人造的,a factitious enthusiasm
fæg|fæɡ,fag,v苦干|n苦工,n. 苦工； 疲劳； 香烟；|vt.& vi. （使）劳累； 做苦工；,be a fag
feɪl seɪf|feɪl seɪf,fail-safe,n自动防故障装置,n. 自动防故障装置；|adj. 自动防故障装置的；,a fail-safe plan is certain to succeed
feɪnth'ɑ:tɪd|ˈfentˈhɑrtɪd,fainthearted,adj懦弱的;无精神的|胆小的,adj. 懦弱的，胆小的，无精神的；,something is not for the faint-hearted ;it seemed almost too fainthearted
feɪk|fek,fake,v伪造|佯装,vt. 伪造； 篡改； 对…做手脚； 仿造|vt.& vi. 假装；|n. 骗子； 冒牌货，赝品； [体]假动作； 冒充，诈骗|adj. 假的，冒充的；,I gave a fake name. ;The painting was judged a fake. ;He tried to fake sincerity
ˈfɔ:lsɪfaɪ|ˈfɔlsəˌfaɪ,falsify,v篡改|说谎,vt. 篡改，伪造；|n. 弄虚作假； 歪曲； 弄虚作假者； 伪造者,falsify records
ˈfænfeə(r)|ˈfænfer,fanfare,n夸耀性游行|嘹亮的喇叭声,n. 喧耀； 号角齐鸣；,The deal was announced with much fanfare.
fænˈteɪziə|fænˈteʒə*** -ʒiə*** ˌfæntəˈziə,fantasia,n幻想曲|组合乐曲,n. 幻想曲，即兴作品；,impassioned fantasia;rhapsody
ˈfærəʊ|ˈfæroʊ,farrow,v(母猪)生产|n一窝小猪,vt. 产（小猪）；|n. 一窝小猪；,row;10 at one farrow;They planned to have the gilts (小母猪)farrow down about the end of this month.
ˈfeɪʃə|ˈfæʃiə,fascia,n饰带|(商店上挂的)招牌,n. 带； <医>绷带； （店门上的）招牌； <解>筋膜,fascia board [医]绷带
ˈfæsɪneɪt|ˈfæsəˌnet,fascinate,v迷惑;迷住,vt. 使着迷； 使神魂颠倒； 蛊惑；|vi. 入迷；,be fascinate by;Politics fascinated Franklin's father
ˈfi:əlti|ˈfiəlti,fealty,n效忠,n. 忠诚；,feal 诚实的;fealty to the rule of law;
ˈfi:braɪl|ˈfɛbrəl*** ˈfibrəl,febrile,adj发烧的;热病的,adj. 发热的；,fever; a febrile patient
ˈfi:kənd|ˈfikənd*** ˈfɛkənd,fecund,adj肥沃的|多产的,adj. 多产的； 生殖力旺盛的；  富饶的；  肥沃的,fertile ;the most fecund lands
ˈfaɪsti|ˈfaɪsti,feisty,adj活跃的|易怒的,adj. 活跃的； 好争吵的； 精力充沛的； 烦躁不安的,DiFranco charmed the audience with her feisty spirit.
fɪ'lɪsɪteɪt|fɪˈlɪsɪˌtet,felicitate,v祝贺;庆祝,vt. 向…致贺，为…庆幸；,felicitate sb on sth
ˈfi:laɪn|ˈfiˌlaɪn,feline,adj猫科的,adj. 猫（科）的；|n. 猫科动物；,She moves with feline grace.
ˈfensɪŋ|ˈfɛnsɪŋ,fencing,n剑术;击剑法,n. 剑术； 围墙； 筑栅栏的材料；|v. 击剑( fence的现在分词)； 围以栅栏；,the amateur fencing champion;old wooden fencing.
fəˈrəʊʃəs|fəˈroʊʃəs,ferocious,adj凶猛的;残暴的,adj. 残忍的； 极度的； 凶猛； 恶,a ferocious*** hungry lion
ˈferi|ˈfɛri,ferry,n渡船;渡口|v运送,n. 渡船； 渡口； 摆渡； 用船渡运|vt. 航海； 渡运； （乘渡船）渡过（河等）；|vi. 摆渡；,across the Channel by ferry; ferry guests to and from
festl|ˈfɛstəl,festal,adj节日的|欢乐的,adj. 节日的； 喜庆的，欢乐的；,in festal atmosphere
ˈfetɪʃ|ˈfɛtɪʃ*** ˈfitɪʃ,fetish,n(崇拜的)神物;偶像,n. <心>恋物； 偶像，迷信； 物神，崇拜物；,make a fetish of ;chastity fetish;a real fetish about keeping everything tidy.
fi:nd|find,fiend,n恶魔|魔鬼,n. 恶魔； 魔鬼； …迷； …狂|adj. 魔鬼似的；,the fiends of hell
ˈfɪləmənt|ˈfɪləmənt,filament,n灯丝|细丝,n. [印，纺]长丝，单纤维； [电]灯丝，丝极，游丝； 细丝，丝状体； [植]（雄蕊的）花丝,an electric filament
fɪltʃ|fɪltʃ,filch,v偷(不贵重的东西),vt. <非正>偷（尤指小的或不贵重的物品）；,Who's filched my pencil?
ˈfɪliəl|ˈfɪliəl,filial,adj子女的,adj. 子女的；|adv. 子女地；,filial duty
ˈfɪlɪt|fɪˈleɪ,fillet,n束发带|鱼肉片,n. 肉片，鱼片； 头带，带状物； [建]平缘，木摺； [纹章学] 筋鞘|vt. 用带缚或装饰； 把（鱼、肉）切成片；,a fillet of sole ;raw fillets
faɪnəbl|ˈfaɪnəbl,finable,adj应罚款的,adj. 可罚款的，该罚款的；,finable behaviors
ˈfaɪnəri|ˈfaɪnəri,finery,n华丽优雅的服装或装饰,n. 华丽、优雅的服装或装饰；,The guests arrived in all their finery
ˈfaɪəbrænd|ˈfaɪərbrænd,firebrand,n燃烧的木块|引起(社会或政治的)动乱的人,n. 火把； 燃烧的木柴； 放火者； 煽动叛乱者,an idealistic young firebrand from the valleys
ˈfɪʃəri|ˈfɪʃəri,fishery,n渔场|渔业,n. 渔业，水产业； 渔场； 水产公司； 捕鱼权,the owner of the fishery
ˈfɪsaɪl|ˈfɪsl,fissile,adj易分裂的,adj. 可进行核裂变的； 易裂的，可裂的；,fissile wood;fissile material
ˈfɪtfl|ˈfɪtfəl,fitful,adj一阵阵的|不安的,adj. 一阵阵的，不规则的，不稳定的；,a fitful breeze
ˈflæbi|ˈflæbi,flabby,adj(肌肉)松软的|意志薄弱的,adj. 肌肉松垂的，肥胖的；|adv. 肌肉松垂地，肥胖地；|n. （肌肉等）不结实，松弛；,a flabby stomach /flabby arms
ˈflædʒəleɪt|ˈflædʒəˌlet,flagellate,v鞭打;鞭笞,vt. 鞭打，鞭挞；,flagella 鞭节*** 鞭毛;rapidly reproduce the flagellate;flagellate themselves
fleə(r)|fler,flair,n天赋;本领;才华,n. 天资； 天分； 眼光； 鉴别力,He doesn't show much flair for the piano
ˈflænl|ˈflænəl,flannel,n法兰绒(一种布),n. 法兰绒，绒布； 法兰绒衣服； 毛巾； <俚>花言巧语|adj. 法兰绒的；|vt. 用法兰绒擦[包]； 使穿法兰绒衣服；,flannel sheets;
ˈflætjʊləns|ˈflætʃəns,flatulence,n肠胃气胀,n. <医>胃肠气胀； 浮夸，自负；,flatulent adj.肠胃气胀的*** 自负的*** 空虚的*** 浮夸的*** 自负的;animal flatulence
fleɪvərɪŋ|ˈflevərɪŋ,flavoring,n香料;调味品,n. 调味品，调味料；|v. 给…调味( flavor的现在分词 )； 给…增添风趣；,artificial flavourings
fleɪ|fle,flay,v剥皮|诈取|严厉指责,vt. 痛打； 把…打得皮开肉绽； 剥（通常指动物）的皮； 严厉批评,The teacher flayed the idle students.
flek|flɛk,fleck,n斑点|微粒,n. 斑纹，斑点； 微粒；|vt. 使有斑点； 使形成条纹；,a black beard with flecks of gray
fli:s|flis,fleece,n生羊皮;羊毛|v骗取,n. 羊毛； 一只羊一次剪下的毛； 羊毛状织物； 绒头织物|vt. 诈取； 剪羊毛； （羊毛般）盖满；,fleece sb of sth;be spun from fleeces
fli:t|flit,fleet,adj快速的|v消磨|掠过,n. 舰队； 船队； 车队； 港湾，小河|adj. 快速的，敏捷的； 转瞬即逝的；|vi. 疾驰； 飞逝；|vt. 使（时间）飞逝； 消磨；,a fleet horse;A fleet sailed for Wales
flɪk|flɪk,flick,v/n轻打;轻弹,v. 轻弹，轻击； 轻拂； 忽然摇动；|n. 轻弹，轻拂； 快速的轻打； 轻弹声； 电影,flick sb with his hand;a flick of a paintbrush
ˈflɪkə(r)|ˈflɪkɚ,flicker,v闪烁;摇曳,v. 闪烁； 飘扬，摆动； 昏倒；|n. 闪烁； 闪光； 电影； 假装昏倒的乞丐,flicker in the wind;flicker of flames
ˈflɒpi|ˈflɑpi,floppy,adj松软的|衰弱的,adj. 松软的； 懒散的；|n. 软盘；,floppy disks
flɔ:'resns|flɔˈrɛsəns*** flə-,florescence,n繁花时期,n. 开花，全盛期，花期；,the arrival of violet florescence
flʌŋk|flʌŋk,flunk,v考试不及格,vt.& vi. <美><口>； （使）（考试、某学科的成绩等）不及格；|vt. 评定（某人）不及格； （因不及格而） 退学；,be flunked in chemistry fail
ˈfɒdə(r)|ˈfɑdə(r),fodder,n草料,n. 草料； 炮灰； <美>管自己的事； 自己谋生|v. 用饲料喂；,The murders made prime fodder for newspapers.
ˈfɒndl|ˈfɑndl,fondle,v抚弄;抚摸,vt. 爱抚，抚弄；,fondle a baby*** doll*** kitten
ˈfʊthəʊld|ˈfʊthoʊld,foothold,n立足点;根据地,n. 立足处（攀登时脚踩的地方）； （在事业等方面可以进一步发展的）稳固地位； 据点；,gain/establish a foothold
fu:tl|ˈfutl,footle,v胡闹|浪费(时间),vi. <非正>闲混；,footle about ;say the footle that ;
fɒp|fɑp,fop,n(喜好精致服装的)花花公子,n. <贬>（讲究衣着和外表的）纨袴子弟； 花花公子；,dude;silly fop
ˈfɒreɪ|ˈfɔreɪ,foray,n/v突袭;偷袭,n. 突袭； 侵略； 冒险；|vi. 袭击；|vt. 劫掠；,raid make a foray
ˈfɔ:ˌbeə*** ˈfəʊr-|ˈfɔrˌbɛr*** ˈfor-,forebear,n祖宗;祖先,n. 祖先，祖宗；,ancestor ;the land of my forebears
fɔ:ˈkləʊz|fɔrˈkloʊz,foreclose,v排除|取消抵押品的赎回权,vt. 取消（抵押品）赎回权； 取消（抵押人的）赎回抵押品的权利； 排除； 阻止,Building societies may foreclose on a mortgage if payments are not kept up. ;foreclose the possibility of
